Review_title,Date,Body,Star_rating,Comments
Not Polished Enough. (Improving with updates),Reviewed in India 🇮🇳 on 23 September 2022,"[Update: Sept 29] boAt seems to have heard the feedback 😀 and updated the watch faces. Now there are a few good ones to pick but a slight improvement over the ones the watch earlier had. Bit Impressed. Added one star for it.Not a very polished product. The fonts are tacky and look ugly in the watch for notification text and caller name text. The watch faces are a lazy design job. No point having 150 watch faces if only 10-20 are good or usable. Rest are useless.[UPDATE: Oct 11] boAt seems to be on a smartwatch launch spree. And thanks to that, they are constantly updating the phone app and the watch faces. Now you have many good looking watch faces to choose from. So overall, still the Smartwatch UI needs work. But atleast you have good watch faces.Good:- Screen quality- Battery life- Looks and the metallic frame- Call clarity- BT calling at the price- Reasonably accurate sensorsBad:- The UI, fonts - they are all very ugly and tacky. They could have tried to give the Chinese software some makeover. But it is a clearly lazy job by the tech team. A copy paste job to be precise of getting an outsourced software and plastering it with brand logos.- Restarts randomly when the call is going on on the watch even for 1 min or so.- Watch faces. Again a job of the design / tech / UI team. BoAt doesn't have a good team of designers and UI guys to really offer simple yet good software features like good watch faces and good watch UI.- No option to silence a call or reply with quick replies.Look for Noise Smart Watches in the Same Range. Noise Colorfit Pulse Go Buzz is cheaper and better alternative + has better watch faces and UI and quick reply to notifications and call silence and mute options for lower prices which this watch has clearly missed.You can go for boAt Wave Call also - It isn't an outright bad watch, but there are better options available for the price.boAt - If you have a team who reads and wants to improve, get some good UI and design folks in your team. Your products are good, but the UI and design is what the people see and that's what makes them feel good about your products. You have really average UI.",4,1
Nice watch,Reviewed in India 🇮🇳 on 24 October 2022,"the watch was delivered on time. I am very happy with the watch. It has all the features. Like- sports, heart rate,sleep, weather ,call and music. But the reason why I gave 4 stars is,  In call feature the listener can just hear u can't hear what they speak And music doesn't work (speaker is not present). If this was given it would the best watch ever.",4,1
Very good product ❤️❤️,Reviewed in India 🇮🇳 on 26 October 2022,A) The feel is very good. It is superlight in weight and metallic frame gives it a premium feel.B) The touch screen is super smooth and works very well.C) The system UI of boat is also pretty easy to use and simple in features.D) The battery life is also good.E) The display is veryy bright.F) The strap quality is PERFECT,4,1
Battery drains within 2 days......,Reviewed in India 🇮🇳 on 27 October 2022,Pros. 1. Touch is awesome  2. Variety of watchfaces  3. Easy connectivity with app  4. U can listen music in watchCons : 1. Battery drains within 2 days  2. While walking it gives accurate results but while jogging a it lags 10% data and in cycling it d0 not count killometes  (if you cycle 10km it will count upto 400m,4,0
Overall decent watch,Reviewed in India 🇮🇳 on 24 October 2022,"I got this for 1700 y all, it was worth it considering the metalic sides but plastic back and good watch faces but side bezels are noticable which i feel is a con and a little connectivity issue that i face sometimes. I will say if this costs over 2000 you might wanna consider some other watch but below 2000 totally worth it.",4,1
Good for calls,Reviewed in India 🇮🇳 on 28 October 2022,Calls very loudly and clear voice and speaker as well good performanceBut the battery life not work long time,4,1
Good in budget,Reviewed in India 🇮🇳 on 29 October 2022,Overall looks good in under 2k but app required more options for use to easy,4,1
Heart beat,Reviewed in India 🇮🇳 on 25 October 2022,This watch is boat wearable app is not pair this watch sma times and next over all its gud calling speaker is very good 👍,4,1
Average product.,Reviewed in India 🇮🇳 on 27 October 2022,"No speaking, no chance of sending messages or checking whatsapp photos or videos. Just for checking time in dark.",4,0
What about its battery backup?,Reviewed in India 🇮🇳 on 26 October 2022,5 to 6 Days battery backup in Normal uses but on blootooth calling it less than to some few hours.,4,1
